Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Flights_2017,Flights_2018,Flights_2016,Value_Class,Churn_Grade
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73455.0,Married,Star,3885.46,Standard,2016,3,,,13.0,9.0,0.0,Class 2 (Low Value),Grade C - neutral
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73455.0,Single,Star,3886.5,Standard,2014,5,,,12.0,6.0,0.0,Class 2 (Low Value),Grade C - neutral
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,,9.0,19.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,,16.0,8.0,0.0,Class 2 (Low Value),Grade C - neutral
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,,24.0,14.0,0.0,Class 2 (Low Value),Grade C - neutral
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,,,5.0,12.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,,8.0,19.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,,31.0,12.0,0.0,Class 2 (Low Value),Grade C - neutral
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73455.0,Married,Star,3891.58,Standard,2014,3,,,12.0,25.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,,,3.0,12.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,,26.0,17.0,0.0,Class 2 (Low Value),Grade C - neutral
806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,,,0.0,12.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,,8.0,13.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,,23.0,23.0,0.0,Class 2 (Low Value),Grade C - neutral
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,73455.0,Single,Star,3907.03,Standard,2012,5,,,18.0,22.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,73455.0,Single,Star,3914.72,Standard,2014,6,,,12.0,10.0,0.0,Class 2 (Low Value),Grade C - neutral
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,73455.0,Single,Star,3914.72,Standard,2013,2,,,11.0,11.0,0.0,Class 2 (Low Value),Grade C - neutral
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,73455.0,Single,Star,3915.8,Standard,2016,5,,,13.0,10.0,0.0,Class 2 (Low Value),Grade C - neutral
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,,20.0,23.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,,15.0,17.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0,3.0,0.0,0.0,Class 2 (Low Value),Grade D - already cancelled
758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,,,0.0,8.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,,,0.0,14.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,73455.0,Married,Star,3920.51,Standard,2015,2,,,15.0,13.0,0.0,Class 2 (Low Value),Grade C - neutral
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,,20.0,6.0,0.0,Class 2 (Low Value),Grade C - neutral
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,,14.0,13.0,0.0,Class 2 (Low Value),Grade C - neutral
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0,11.0,0.0,0.0,Class 2 (Low Value),Grade D - already cancelled
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,,27.0,8.0,0.0,Class 2 (Low Value),Grade C - neutral
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,,11.0,20.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,,13.0,3.0,0.0,Class 2 (Low Value),Grade C - neutral
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,,27.0,7.0,0.0,Class 2 (Low Value),Grade C - neutral
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,,17.0,14.0,0.0,Class 2 (Low Value),Grade C - neutral
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,,20.0,8.0,0.0,Class 2 (Low Value),Grade C - neutral
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,,22.0,15.0,0.0,Class 2 (Low Value),Grade C - neutral
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,,,13.0,20.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,,23.0,21.0,0.0,Class 2 (Low Value),Grade C - neutral
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,,15.0,21.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,,25.0,24.0,0.0,Class 2 (Low Value),Grade C - neutral
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,,24.0,23.0,0.0,Class 2 (Low Value),Grade C - neutral
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,73455.0,Married,Star,3958.0,Standard,2012,9,,,21.0,12.0,0.0,Class 2 (Low Value),Grade C - neutral
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,,10.0,8.0,0.0,Class 2 (Low Value),Grade C - neutral
112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,,,0.0,50.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,,27.0,13.0,0.0,Class 2 (Low Value),Grade C - neutral
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,,9.0,11.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,,7.0,21.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,73455.0,Divorced,Star,3974.86,Standard,2013,5,,,16.0,15.0,0.0,Class 2 (Low Value),Grade C - neutral
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,73455.0,Divorced,Star,3974.86,Standard,2017,10,,,5.0,10.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,,,0.0,11.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,,0.0,9.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,,7.0,10.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,,19.0,7.0,0.0,Class 2 (Low Value),Grade C - neutral
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,,18.0,18.0,0.0,Class 2 (Low Value),Grade C - neutral
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,,28.0,6.0,0.0,Class 2 (Low Value),Grade C - neutral
654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,2017.0,12.0,8.0,0.0,0.0,Class 2 (Low Value),Grade D - already cancelled
984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,73455.0,Single,Star,3997.48,Standard,2018,8,,,0.0,4.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,,,6.0,15.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,,,24.0,18.0,0.0,Class 2 (Low Value),Grade C - neutral
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,,,24.0,13.0,0.0,Class 2 (Low Value),Grade C - neutral
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,,,14.0,10.0,0.0,Class 2 (Low Value),Grade C - neutral
223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,,,7.0,8.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,,,13.0,15.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,,,15.0,14.0,0.0,Class 2 (Low Value),Grade C - neutral
425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,,,19.0,13.0,0.0,Class 2 (Low Value),Grade C - neutral
695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,73455.0,Divorced,Star,4019.38,Standard,2013,4,,,8.0,17.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,73455.0,Divorced,Star,4019.38,Standard,2014,7,,,17.0,7.0,0.0,Class 2 (Low Value),Grade C - neutral
377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,,,26.0,22.0,0.0,Class 2 (Low Value),Grade C - neutral
511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,,,9.0,9.0,0.0,Class 2 (Low Value),Grade C - neutral
890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,73455.0,Married,Star,4025.1,Standard,2017,9,,,5.0,11.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,,,26.0,10.0,0.0,Class 2 (Low Value),Grade C - neutral
556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,73455.0,Married,Star,4035.77,Standard,2017,1,,,11.0,15.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,,,3.0,7.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,,,25.0,23.0,0.0,Class 2 (Low Value),Grade C - neutral
235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2013,3,,,25.0,12.0,0.0,Class 2 (Low Value),Grade C - neutral
295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,4048.16,Standard,2017,5,,,9.0,12.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,4053.37,Standard,2013,5,,,7.0,15.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,4059.57,Standard,2016,6,,,7.0,14.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,4064.18,Standard,2013,9,,,17.0,13.0,0.0,Class 2 (Low Value),Grade C - neutral
326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,73455.0,Married,Star,4068.09,Standard,2017,2,,,13.0,10.0,0.0,Class 2 (Low Value),Grade C - neutral
375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,4070.05,Standard,2014,7,,,20.0,21.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,4072.85,Standard,2017,9,,,0.0,14.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,73455.0,Married,Star,4079.13,Standard,2017,6,,,4.0,13.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2014,7,,,8.0,15.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
958839,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2018,8,,,0.0,7.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,4087.51,Standard,2015,2,2018.0,6.0,17.0,3.0,0.0,Class 2 (Low Value),Grade D - already cancelled
746226,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,63501.0,Married,Star,4089.04,Standard,2018,1,,,0.0,6.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,4089.46,Standard,2012,6,,,13.0,9.0,0.0,Class 2 (Low Value),Grade C - neutral
528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,4090.75,Standard,2015,6,2018.0,11.0,19.0,7.0,0.0,Class 2 (Low Value),Grade D - already cancelled
995091,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454.0,Married,Star,4095.2,Standard,2017,9,,,0.0,10.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
632793,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370.0,Single,Star,4097.37,Standard,2016,6,,,10.0,10.0,0.0,Class 2 (Low Value),Grade C - neutral
382197,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367.0,Married,Star,4100.47,Standard,2017,10,2018.0,6.0,0.0,10.0,0.0,Class 2 (Low Value),Grade D - already cancelled
705196,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,73455.0,Single,Star,4101.94,Standard,2013,11,,,25.0,18.0,0.0,Class 2 (Low Value),Grade C - neutral
123094,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,92223.0,Married,Star,4103.85,Standard,2018,1,,,0.0,18.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
119488,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,73455.0,Single,Star,4108.26,Standard,2017,6,,,11.0,17.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
287750,Canada,Ontario,Ottawa,K1F 2R2,Female,College,73455.0,Single,Star,4109.31,Standard,2012,8,,,14.0,26.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
735846,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318.0,Married,Star,4109.79,Standard,2012,8,,,3.0,30.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
606026,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55207.0,Single,Star,4110.62,Standard,2015,7,,,22.0,17.0,0.0,Class 2 (Low Value),Grade C - neutral
460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,55476.0,Divorced,Star,4111.2,Standard,2015,9,,,16.0,16.0,0.0,Class 2 (Low Value),Grade C - neutral
743001,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2017,5,,,8.0,16.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
869799,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,79533.0,Married,Star,4111.89,Standard,2015,3,,,5.0,17.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
279419,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,73455.0,Single,Star,4117.37,Standard,2013,7,,,32.0,27.0,0.0,Class 2 (Low Value),Grade C - neutral
170585,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2013,8,,,15.0,8.0,0.0,Class 2 (Low Value),Grade C - neutral
188340,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2017,4,,,18.0,22.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
670817,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,82675.0,Single,Star,4118.59,Standard,2016,12,,,20.0,17.0,0.0,Class 2 (Low Value),Grade C - neutral
509513,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73455.0,Single,Star,4121.25,Standard,2012,12,,,23.0,15.0,0.0,Class 2 (Low Value),Grade C - neutral
779247,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,86987.0,Married,Star,4122.57,Standard,2012,9,,,24.0,19.0,0.0,Class 2 (Low Value),Grade C - neutral
111255,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272.0,Married,Star,4122.96,Standard,2013,3,,,18.0,20.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
763061,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,56845.0,Married,Star,4126.61,Standard,2014,4,,,8.0,3.0,0.0,Class 2 (Low Value),Grade C - neutral
428919,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,58209.0,Divorced,Star,4139.9,Standard,2015,7,,,10.0,16.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
139863,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67223.0,Married,Star,4142.56,Standard,2015,10,,,14.0,10.0,0.0,Class 2 (Low Value),Grade C - neutral
355331,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,73455.0,Divorced,Star,4145.02,Standard,2013,7,,,27.0,15.0,0.0,Class 2 (Low Value),Grade C - neutral
578837,Canada,Ontario,Toronto,P5S 6R4,Male,College,73455.0,Single,Star,4152.65,Standard,2012,5,,,15.0,0.0,0.0,Class 2 (Low Value),Grade A - Most Likely
467182,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,102347.0,Married,Star,4160.02,Standard,2013,12,2018.0,10.0,20.0,21.0,0.0,Class 2 (Low Value),Grade D - already cancelled
601407,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,72809.0,Married,Star,4165.17,Standard,2015,9,,,10.0,24.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
700871,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,74567.0,Married,Star,4165.25,Standard,2015,12,,,21.0,13.0,0.0,Class 2 (Low Value),Grade C - neutral
705589,Canada,Ontario,Toronto,P1L 8X8,Female,College,73455.0,Single,Star,4165.99,Standard,2012,5,,,25.0,9.0,0.0,Class 2 (Low Value),Grade C - neutral
354438,Canada,Quebec,Montreal,H2T 2J6,Male,College,73455.0,Married,Star,4167.09,Standard,2018,9,,,0.0,11.0,0.0,Class 2 (Low Value),Grade B - Less Likely / Not Likely
746060,Canada,British Columbia,Victoria,V10 6T5,Male,College,73455.0,Married,Star,4167.09,Standard,2014,4,,,24.0,8.0,0.0,Class 2 (Low Value),Grade C - neutral
469718,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,73544.0,Married,Star,4167.42,Standard,2013,1,,,16.0,9.0,0.0,Class 2 (Low Value),Grade C - neutral
164429,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,57852.0,Single,Star,4169.36,Standard,2012,9,,,23.0,5.0,0.0,Class 2 (Low Value),Grade C - neutral
